cinema,title,href
Cinema City,Never Let Him Go,https://www.cinema-city.co.il/movie/5212
Cinema City,Sex Education,https://www.cinema-city.co.il/movie/5311
Yes Planet,Sex Education,https://planetcinema.co.il/films/sex/6751s2r?lang=en_gb
Cinema City,Sleeping Dogs,https://www.cinema-city.co.il/movie/5272
Yes Planet,Sleeping Dogs,https://planetcinema.co.il/films/sleeping-dogs/6388s2r?lang=en_gb
Cinema City,Speak No Evil,https://www.cinema-city.co.il/movie/5149
Yes Planet,Speak No Evil,https://planetcinema.co.il/films/speak-no-evil/5405s2r?lang=en_gb
Cinema City,Take a Chance on Me,https://www.cinema-city.co.il/movie/5207
Yes Planet,Take a Chance on Me,https://planetcinema.co.il/films/take-a-chance-on-me/6629s2r?lang=en_gb
Lev Cinema,Take a Chance on Me,https://www.lev.co.il/en/movies/%d7%90%d7%93%d7%95%d7%a0%d7%99-%d7%94%d7%a9%d7%95%d7%a4%d7%98/
Cinema City,The Crow,https://www.cinema-city.co.il/movie/5101
Yes Planet,The Crow,https://planetcinema.co.il/films/the-crow/64901s2r?lang=en_gb
Yes Planet,The Engineer,https://planetcinema.co.il/films/the-engineer/0060s2r?lang=en_gb
Cinema City,The Lord of the Rings: The Return of the King,https://www.cinema-city.co.il/movie/5269
Yes Planet,The Lord of the Rings: The Return of the King,https://planetcinema.co.il/films/the-lord-of-the-rings-the-return-of-the-king/5354s2r?lang=en_gb
Yes Planet,The Lord of the Rings: The Two Towers,https://planetcinema.co.il/films/the-lord-of-the-rings-the-two-towers/5083s2r?lang=en_gb
Cinema City,The Lord of the Rings: The Two Towers,https://www.cinema-city.co.il/movie/5268
Cinema City,The Monk and the Gun,https://www.cinema-city.co.il/movie/5121
Yes Planet,The Second Act,https://planetcinema.co.il/films/second-act/30241s2r?lang=en_gb
Lev Cinema,The Second Act,https://www.lev.co.il/en/movies/%d7%9e%d7%a2%d7%a8%d7%9b%d7%94-%d7%a9%d7%a0%d7%99%d7%99%d7%94/
Cinema City,The Second Act,https://www.cinema-city.co.il/movie/5292
Cinema City,The Tasting,https://www.cinema-city.co.il/movie/5179
Yes Planet,The Tasting,https://planetcinema.co.il/films/tasting/6737s2r?lang=en_gb
Yes Planet,The Teachers' Lounge,https://planetcinema.co.il/films/the-teachers-lounge/6718s2r?lang=en_gb
Cinema City,The Teachers' Lounge,https://www.cinema-city.co.il/movie/5262
Yes Planet,The Wild Robot,https://planetcinema.co.il/films/the-wild-robot/6463s2r?lang=en_gb
Cinema City,The Wild Robot,https://www.cinema-city.co.il/movie/5150
Cinema City,Thelma,https://www.cinema-city.co.il/movie/5227
Lev Cinema,There's Still Tomorrow,https://www.lev.co.il/en/movies/%d7%9e%d7%97%d7%a8-%d7%99%d7%95%d7%9d-%d7%97%d7%93%d7%a9/
Cinema City,There's Still Tomorrow,https://www.cinema-city.co.il/movie/5162
Yes Planet,This Time Next Year,https://planetcinema.co.il/films/this-time-next-year/6540s2r?lang=en_gb
Cinema City,This Time Next Year,https://www.cinema-city.co.il/movie/5245
Yes Planet,Wire Room,https://planetcinema.co.il/films/wire-room/6649s2r?lang=en_gb
Cinema City,Woman of the Hour,https://www.cinema-city.co.il/movie/5313
Yes Planet,Woman of the Hour,https://planetcinema.co.il/films/woman-of-the-hour/6738s2r?lang=en_gb
