title,poster,year,valid,runtime
Daddio,https://m.media-amazon.com/images/M/MV5BNDg0Njk0ZjYtZGIyMy00MDkzLWI3MDYtNjUxMWQzMTkxNzIyXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,101
Deadpool and Wolverine (2024),https://m.media-amazon.com/images/M/MV5BMGQ1MTRhMDMtZGVlYy00NDg5LTlmNjAtZTdlNTQ2M2ZmYTkwXkEyXkFqcGdeQXVyNzExMzc0MDg@._V1_SX300.jpg,2024,yes,127
Despicable Me 4,https://m.media-amazon.com/images/M/MV5BNzY0ZTlhYzgtOTgzZC00ZTg2LTk4NTEtZDllM2E2NGE5Njg2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,95
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BMzljN2I3ZTUtZjBmYy00ZmExLWFkN2UtOTk4YzE3OTc1MzBiXkEyXkFqcGdeQXVyNjgxODk1MTM@._V1_SX300.jpg,2023,yes,81
Fish also drown,https://m.media-amazon.com/images/M/MV5BZDYyODFmMGMtZGYyYS00ZWI1LWI5NmQtMTdlN2FkYmFhMzM4XkEyXkFqcGdeQXVyMTIyMzM4NDE5._V1_SX300.jpg,2020,yes,85
Inside Out 2,https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96
It Ends with Us,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130
Joker: Folie à Deux,https://m.media-amazon.com/images/M/MV5BNTRlNmU1NzEtODNkNC00ZGM3LWFmNzQtMjBlMWRiYTcyMGRhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138
Les choses simples,https://m.media-amazon.com/images/M/MV5BN2I1NmNkNWYtMjU0ZC00ZWNiLTkxYjUtYzdmMmYzNzY2NTU0XkEyXkFqcGdeQXVyNTc5NjczOTE@._V1_SX300.jpg,2016,yes,95
Longlegs,https://m.media-amazon.com/images/M/MV5BMmJkNGNiNjgtMzFlYy00ZDI5LWI2YzktZGVjYjI5MjQyMGU3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101
Megalopolis,https://m.media-amazon.com/images/M/MV5BOTQ2MTcwODgtOTg3Yi00M2RmLWEyMDQtY2IzZmRlYzM3YzhjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138
Monster,https://m.media-amazon.com/images/M/MV5BNDA3NTQ1YWItZDg4Ny00ZDYxLWJmZDYtODY4MTcwYWFlMDYwXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,2023,yes,127
My Old Ass,https://m.media-amazon.com/images/M/MV5BNDhiYjE1ZTAtMjM2My00OGZhLWE4MGMtMDI1YzRiYWYzMTdkXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,88
Nefarious,https://m.media-amazon.com/images/M/MV5BNmY4NTlkNTEtNDBjMS00ZTJiLWFlZDMtNWY0MWFlZmNjMTFlXkEyXkFqcGdeQXVyMzQxODQzMTE@._V1_SX300.jpg,2023,yes,97
Never Let Go,https://m.media-amazon.com/images/M/MV5BNTFlMzhhYTYtYzMzOC00ZTJiLTllMzAtMGUxOGU0MDVlY2M4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101
Never Let Him Go,https://m.media-amazon.com/images/M/MV5BMTcxOTM3NmQtYzhhMC00YTIyLTlhOTQtYjQ3MGRjNjlkYjYxXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_SX300.jpg,2023,yes,101
Sex Education,https://m.media-amazon.com/images/M/MV5BOTE0MjQ1NDU3OV5BMl5BanBnXkFtZTgwNTI4MTgwNzM@._V1_SX300.jpg,Unknown,yes,125
Sleeping Dogs,https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_SX300.jpg,2024,yes,110
Speak No Evil,https://m.media-amazon.com/images/M/MV5BNWRhMjcwYjMtZDg2ZC00YmI1LWIwM2MtOTBhNmQ4OWUwYjgxXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_SX300.jpg,2022,yes,110
Strange Darling,https://m.media-amazon.com/images/M/MV5BNDE2OTQ0NjEtNmEwMC00NmRjLThiOGMtN2M1N2Q2YWY0NGY4XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,96
Take a Chance on Me,https://m.media-amazon.com/images/M/MV5BNGMwYjc0NjgtOGM2Ny00ZGE5LThlN2ItMjU4NmFjMmY4YWYxXkEyXkFqcGdeQXVyMTYzMzQ3NzAy._V1_SX300.jpg,2023,yes,103
The Crow,https://m.media-amazon.com/images/M/MV5BMjEyOWJjMWQtZTY4Yi00ZjYyLWJhNDktZmRkNzEwMjlhZjQ3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111
The Engineer,https://m.media-amazon.com/images/M/MV5BZDFiMjNlNTUtOTE3ZS00ZjM2LTgxM2UtMzllYTgyMjJkOTY2XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,92
The Lord of the Rings: The Fellowship of the Ring,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2001,yes,178
The Lord of the Rings: The Return of the King,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_SX300.jpg,2003,yes,201
The Lord of the Rings: The Two Towers,https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,2002,yes,179
The Monk and the Gun,https://m.media-amazon.com/images/M/MV5BZTNmNDIyOTQtMjkxMy00MzEwLWExODktODZiN2RkNTYzNWQxXkEyXkFqcGdeQXVyNzMzOTQ0ODM@._V1_SX300.jpg,2023,yes,107
The Second Act,https://m.media-amazon.com/images/M/MV5BYjc5N2NkZTktZWE0OC00YjY3LTg0OGItNzNjNzRlZGViMmFjXkEyXkFqcGdeQXVyMTQ5NjQ4OTE2._V1_SX300.jpg,2024,yes,114
The Tasting,https://m.media-amazon.com/images/M/MV5BODQxZDZlMDMtODdhZS00MzgwLWI2ODMtNjI4NGFmMzVmZjEzXkEyXkFqcGdeQXVyNDg4MDI2NzU@._V1_SX300.jpg,2022,yes,92
The Teachers' Lounge,https://m.media-amazon.com/images/M/MV5BYjc3MTM5MzktNTUwYi00ODRjLTliOTMtYWJiZTQ2NzhlZjJlXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_SX300.jpg,2023,yes,94
The Wild Robot,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,90
Thelma,https://m.media-amazon.com/images/M/MV5BM2Q2ZmY1ZmYtYWJlMS00MDJhLTkyYmUtMmU4MTQ5OThlYjQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2024,yes,98
There's Still Tomorrow,https://m.media-amazon.com/images/M/MV5BMmZhOWMzNzQtNjY0OC00MTYzLTllODUtZjZjY2MzNDc5ODdmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,118
This Time Next Year,https://m.media-amazon.com/images/M/MV5BOTk2ZDEyN2EtNzM2YS00Y2VlLWI0MTUtMGFlY2M4MWEwNGNiXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,116
Wire Room,https://m.media-amazon.com/images/M/MV5BMjg5NzI3NWYtOGVmMi00OGQxLTgwNmQtNTcxMzgwMjBhMzg4XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,2022,yes,96
Woman of the Hour,https://m.media-amazon.com/images/M/MV5BM2Q5OTExZDQtNDI2Ny00ZTYxLTllMzgtMmFlZTU2ZmMxMzNiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,95
