title,poster,year,valid,runtime,popularity
Longlegs,https://m.media-amazon.com/images/M/MV5BMmJkNGNiNjgtMzFlYy00ZDI5LWI2YzktZGVjYjI5MjQyMGU3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101,33.33
Megalopolis,https://m.media-amazon.com/images/M/MV5BOTQ2MTcwODgtOTg3Yi00M2RmLWEyMDQtY2IzZmRlYzM3YzhjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,138,82.96
Monster,https://m.media-amazon.com/images/M/MV5BNDA3NTQ1YWItZDg4Ny00ZDYxLWJmZDYtODY4MTcwYWFlMDYwXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,2023,yes,126,58.08
My Hero Academia: You're Next,https://m.media-amazon.com/images/M/MV5BNGVmZDJhNjItYzdlOC00ODA2LWFkYjctY2NmMzNiZTQ2NTVjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,89.23
My Old Ass,https://m.media-amazon.com/images/M/MV5BNDhiYjE1ZTAtMjM2My00OGZhLWE4MGMtMDI1YzRiYWYzMTdkXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,88,92.6
Nefarious,https://m.media-amazon.com/images/M/MV5BM2Q3M2EwMTItYjVjOS00MjdjLWExMTItMjA4MmRhOTAxNzI3XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,97,81.54
Never Let Go,https://m.media-amazon.com/images/M/MV5BNTFlMzhhYTYtYzMzOC00ZTJiLTllMzAtMGUxOGU0MDVlY2M4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101,71.67
Panda Bear in Africa,https://m.media-amazon.com/images/M/MV5BNGI3YWFkMWEtZTZjNS00NWI1LThiYWEtZDBlZDg4NWRjMzcxXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,84,83.33
Perfect Days,https://m.media-amazon.com/images/M/MV5BNGVmODFkM2MtOTEzMy00MjFjLThjZmYtODMxZmI1MzcyNDkyXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,123,16.67
Sleeping Dogs,https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_SX300.jpg,2024,yes,110,73.46
Smile 2,https://m.media-amazon.com/images/M/MV5BYTg5OTMyMGMtYzMwNC00NDMyLWE0OGUtMTQ1ODcwM2FjOTM4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,132,94.23
Speak No Evil,https://m.media-amazon.com/images/M/MV5BNWRhMjcwYjMtZDg2ZC00YmI1LWIwM2MtOTBhNmQ4OWUwYjgxXkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_SX300.jpg,2022,yes,110,67.12
Strange Darling,https://m.media-amazon.com/images/M/MV5BNDE2OTQ0NjEtNmEwMC00NmRjLThiOGMtN2M1N2Q2YWY0NGY4XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,96,61.54
Take a Chance on Me,https://m.media-amazon.com/images/M/MV5BNGMwYjc0NjgtOGM2Ny00ZGE5LThlN2ItMjU4NmFjMmY4YWYxXkEyXkFqcGdeQXVyMTYzMzQ3NzAy._V1_SX300.jpg,2023,yes,103,46.88
The Crow,https://m.media-amazon.com/images/M/MV5BMjEyOWJjMWQtZTY4Yi00ZjYyLWJhNDktZmRkNzEwMjlhZjQ3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111,55.77
The Day the Earth Blew Up: A Looney Tunes Movie,https://m.media-amazon.com/images/M/MV5BN2Q2MDQ4MWYtMzk0My00NWFkLTlkZmEtNDgwNThhYjAzODg4XkEyXkFqcGdeQXVyMTE2NDA4MDMy._V1_SX300.jpg,2024,yes,91,91.67
The Engineer,https://m.media-amazon.com/images/M/MV5BZDFiMjNlNTUtOTE3ZS00ZjM2LTgxM2UtMzllYTgyMjJkOTY2XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,92,63.33
The Monk and the Gun,https://m.media-amazon.com/images/M/MV5BZTNmNDIyOTQtMjkxMy00MzEwLWExODktODZiN2RkNTYzNWQxXkEyXkFqcGdeQXVyNzMzOTQ0ODM@._V1_SX300.jpg,2023,yes,107,11.11
The Second Act,https://m.media-amazon.com/images/M/MV5BYjc5N2NkZTktZWE0OC00YjY3LTg0OGItNzNjNzRlZGViMmFjXkEyXkFqcGdeQXVyMTQ5NjQ4OTE2._V1_SX300.jpg,2024,yes,114,74.96
The Silent Hour,https://m.media-amazon.com/images/M/MV5BOWE5NDg3NTYtZWEyNS00YjBlLTljZDYtOTVkN2Q4MDZjYWIyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,99,90.19
The Tasting,https://m.media-amazon.com/images/M/MV5BODQxZDZlMDMtODdhZS00MzgwLWI2ODMtNjI4NGFmMzVmZjEzXkEyXkFqcGdeQXVyNDg4MDI2NzU@._V1_SX300.jpg,2022,yes,92,84.68
The Teachers' Lounge,https://m.media-amazon.com/images/M/MV5BOTkwZDgzNzgtMDBiZC00Y2M2LWI3MmUtZDM2Zjk1ZDc1YWJiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,94,67.18
The Wild Robot,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101,78.46
There's Still Tomorrow,https://m.media-amazon.com/images/M/MV5BMmZhOWMzNzQtNjY0OC00MTYzLTllODUtZjZjY2MzNDc5ODdmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,118,49.14
This Time Next Year,https://m.media-amazon.com/images/M/MV5BOTk2ZDEyN2EtNzM2YS00Y2VlLWI0MTUtMGFlY2M4MWEwNGNiXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,116,56.66
Wire Room,https://m.media-amazon.com/images/M/MV5BMjg5NzI3NWYtOGVmMi00OGQxLTgwNmQtNTcxMzgwMjBhMzg4XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,2022,yes,96,48.33
Woman of the Hour,https://m.media-amazon.com/images/M/MV5BM2Q5OTExZDQtNDI2Ny00ZTYxLTllMzgtMmFlZTU2ZmMxMzNiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,95,85.04
